No,Kode,Nama perusahaan,Tanggal pencatatan,Jumlah Saham,Papan pencatatan,Sektor
473,BEI: KINO,Kino Indonesia Tbk.,11 Desember 2015,1.428.571.500,Pengembangan,Consumer Non-Cyclicals
474,BEI: KIOS,Kioson Komersial Indonesia Tbk,5 Oktober 2017,1.075.862.960,Pengembangan,Technology
475,BEI: KJEN,Krida Jaringan Nusantara Tbk.,1 Juli 2019,500.000.000,Pengembangan,Transportation & Logistics
476,BEI: KKES,Kusuma Kemindo Sentosa Tbk.,8 Agustus 2022,1.500.000.000,Pemantauan Khusus,Basic Materials
477,BEI: KKGI,Resource Alam Indonesia Tbk.,1 Juli 1991,5.000.000.000,Utama,Energy
478,BEI: KLAS,Pelayaran Kurnia Lautan Semest,12 Juni 2023,3.644.415.975,Pengembangan,Transportation & Logistics
479,BEI: KLBF,Kalbe Farma Tbk.,30 Juli 1991,46.875.122.110,Utama,Healthcare
480,BEI: KLIN,Klinko Karya Imaji Tbk.,9 Agustus 2022,1.307.530.330,Pemantauan Khusus,Consumer Cyclicals
481,BEI: KMDS,Kurniamitra Duta Sentosa Tbk.,7 September 2020,800.000.000,Pengembangan,Consumer Non-Cyclicals
482,BEI: KMTR,Kirana Megatara Tbk.,19 Juni 2017,8.215.366.379,Pengembangan,Basic Materials
483,BEI: KOBX,Kobexindo Tractors Tbk.,5 Juli 2012,2.272.500.000,Pengembangan,Industrials
484,BEI: KOCI,Kokoh Exa Nusantara Tbk.,7 Oktober 2023,4.415.591.800,Pengembangan,Properties & Real Estate
485,BEI: KOIN,Kokoh Inti Arebama Tbk,9 April 2008,980.843.732,Pemantauan Khusus,Industrials
486,BEI: KOKA,Koka Indonesia Tbk.,11 Oktober 2023,2.861.333.000,Pengembangan,Infrastructure
487,BEI: KONI,Perdana Bangun Pusaka Tbk,22 Agustus 1995,312.000.000,Pemantauan Khusus,Industrials
488,BEI: KOPI,Mitra Energi Persada Tbk.,4 Mei 2015,697.266.668,Pengembangan,Energy
489,BEI: KOTA,DMS Propertindo Tbk.,9 Juli 2019,10.546.185.701,Pemantauan Khusus,Consumer Cyclicals
490,BEI: KPAL,Steadfast Marine Tbk.,8 Juni 2018,1.069.009.400,Pemantauan Khusus,Industrials
491,BEI: KPAS,Cottonindo Ariesta Tbk.,5 Oktober 2018,768.043.253,Pemantauan Khusus,Consumer Non-Cyclicals
492,BEI: KPIG,MNC Land Tbk.,30 Maret 2000,97.557.129.263,Pengembangan,Consumer Cyclicals
493,BEI: KRAH,Grand Kartech Tbk.,8 November 2013,971.190.000,Pemantauan Khusus,Industrials
494,BEI: KRAS,Krakatau Steel (Persero) Tbk.,10 November 2010,19.346.396.900,Pengembangan,Basic Materials
495,BEI: KREN,Quantum Clovera Investama Tbk.,28 Juni 2002,18.208.470.100,Pemantauan Khusus,Technology
496,BEI: KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Juli 2022,1.663.943.474,Pengembangan,Infrastructure
497,BEI: KUAS,Ace Oldfields Tbk.,25 Oktober 2021,1.292.808.150,Pengembangan,Industrials
498,BEI: LABA,Green Power Group Tbk.,10 Juni 2021,1.103.402.553,Pengembangan,Industrials
499,BEI: LABS,UBC Medical Indonesia Tbk.,10 Juli 2024,3.950.000.000,Pengembangan,Healthcare
500,BEI: LAJU,Jasa Berdikari Logistics Tbk.,27 Januari 2023,2.149.942.974,Pengembangan,Transportation & Logistics
501,BEI: LAND,Trimitra Propertindo Tbk.,23 Agustus 2018,2.792.620.000,Pemantauan Khusus,Properties & Real Estate
502,BEI: LAPD,Leyand International Tbk.,17 Juli 2001,3.966.350.139,Pemantauan Khusus,Consumer Non-Cyclicals
503,BEI: LCGP,Eureka Prima Jakarta Tbk.,13 Juli 2007,5.630.000.914,Pemantauan Khusus,Properties & Real Estate
504,BEI: LCKM,LCK Global Kedaton Tbk.,16 Januari 2018,1.000.000.000,Pengembangan,Infrastructure
505,BEI: LEAD,Logindo Samudramakmur Tbk.,11 Desember 2013,5.799.616.328,Pengembangan,Energy
506,BEI: LFLO,Imago Mulia Persada Tbk.,7 April 2021,1.307.734.937,Akselerasi,Consumer Cyclicals
507,BEI: LIFE,MSIG Life Insurance Indonesia,9 Juli 2019,2.100.000.000,Pengembangan,Financials
508,BEI: LINK,Link Net Tbk.,2 Juni 2014,2.863.195.484,Pengembangan,Infrastructure
509,BEI: LION,Lion Metal Works Tbk.,20 Agustus 1993,520.160.000,Pemantauan Khusus,Industrials
510,BEI: LIVE,Homeco Victoria Makmur Tbk.,12 Februari 2024,4.593.005.014,Pengembangan,Consumer Cyclicals
511,BEI: LMAS,Limas Indonesia Makmur Tbk,28 Desember 2001,787.851.525,Pemantauan Khusus,Technology
512,BEI: LMAX,Lupromax Pelumas Indonesia Tbk,9 Agustus 2023,650.008.775,Akselerasi,Consumer Cyclicals
513,BEI: LMPI,Langgeng Makmur Industri Tbk.,17 Oktober 1994,1.008.517.669,Pengembangan,Consumer Cyclicals
514,BEI: LMSH,Lionmesh Prima Tbk.,4 Juni 1990,96.000.000,Pemantauan Khusus,Basic Materials
515,BEI: LOPI,Logisticsplus International Tb,11 Oktober 2023,1.100.011.289,Akselerasi,Transportation & Logistics
516,BEI: LPCK,Lippo Cikarang Tbk,24 Juli 1997,2.679.600.000,Utama,Properties & Real Estate
517,BEI: LPGI,Lippo General Insurance Tbk.,22 Juli 1997,3.000.000.000,Pemantauan Khusus,Financials
518,BEI: LPIN,Multi Prima Sejahtera Tbk,5 Februari 1990,425.000.000,Pengembangan,Consumer Cyclicals
519,BEI: LPKR,Lippo Karawaci Tbk.,28 Juni 1996,70.898.018.369,Utama,Properties & Real Estate
520,BEI: LPLI,Star Pacific Tbk,23 Oktober 1989,1.170.432.803,Pengembangan,Properties & Real Estate
521,BEI: LPPF,Matahari Department Store Tbk.,9 Oktober 1989,2.259.292.880,Utama,Consumer Cyclicals
522,BEI: LPPS,Lenox Pasifik Investama Tbk.,28 Maret 1994,2.588.250.000,Pengembangan,Financials
523,BEI: LRNA,Eka Sari Lorena Transport Tbk.,15 April 2014,350.000.022,Pengembangan,Transportation & Logistics
524,BEI: LSIP,PP London Sumatra Indonesia Tb,5 Juli 1996,6.819.963.965,Utama,Consumer Non-Cyclicals
525,BEI: LTLS,Lautan Luas Tbk.,21 Juli 1997,1.560.000.000,Utama,Basic Materials
526,BEI: LUCK,Sentral Mitra Informatika Tbk.,28 November 2018,715.749.640,Pengembangan,Technology
527,BEI: LUCY,Lima Dua Lima Tiga Tbk.,5 Mei 2021,1.514.773.893,Akselerasi,Consumer Cyclicals
528,BEI: MABA,Marga Abhinaya Abadi Tbk.,22 Juni 2017,15.365.229.912,Pemantauan Khusus,Consumer Cyclicals
529,BEI: MAGP,Multi Agro Gemilang Plantation,16 Januari 2013,9.000.000.004,Pemantauan Khusus,Consumer Non-Cyclicals
530,BEI: MAHA,Mandiri Herindo Adiperkasa Tbk,25 Juli 2023,16.666.000.000,Utama,Energy
531,BEI: MAIN,Malindo Feedmill Tbk.,10 Februari 2006,2.238.750.000,Utama,Consumer Non-Cyclicals
532,BEI: MAMI,Mas Murni Indonesia Tbk,9 Februari 1994,12.299.317.590,Pemantauan Khusus,Consumer Cyclicals
533,BEI: MANG,Manggung Polahraya Tbk.,11 Januari 2024,3.812.500.000,Akselerasi,Infrastructure
534,BEI: MAPA,Map Aktif Adiperkasa Tbk.,5 Juli 2018,28.504.000.000,Utama,Consumer Cyclicals
535,BEI: MAPB,MAP Boga Adiperkasa Tbk.,21 Juni 2017,2.387.922.900,Pemantauan Khusus,Consumer Cyclicals
536,BEI: MAPI,Mitra Adiperkasa Tbk.,10 November 2004,16.600.000.000,Utama,Consumer Cyclicals
537,BEI: MARI,Mahaka Radio Integra Tbk.,11 Februari 2016,5.252.644.000,Pengembangan,Consumer Cyclicals
538,BEI: MARK,Mark Dynamics Indonesia Tbk.,12 Juli 2017,3.800.000.310,Utama,Industrials
539,BEI: MASA,Multistrada Arah Sarana Tbk.,9 Juni 2005,9.182.946.945,Utama,Consumer Cyclicals
540,BEI: MASB,Bank Multiarta Sentosa Tbk.,30 Juni 2021,1.387.737.233,Pengembangan,Financials
541,BEI: MAXI,Maxindo Karya Anugerah Tbk.,12 Juni 2023,9.610.063.102,Pengembangan,Consumer Non-Cyclicals
542,BEI: MAYA,Bank Mayapada Internasional Tb,29 Agustus 1997,25.906.179.152,Utama,Financials
543,BEI: MBAP,Mitrabara Adiperdana Tbk.,10 Juli 2014,1.227.271.952,Pengembangan,Energy
544,BEI: MBMA,Merdeka Battery Materials Tbk.,18 April 2023,107.995.419.900,Pengembangan,Basic Materials
545,BEI: MBSS,Mitrabahtera Segara Sejati Tbk,6 April 2011,1.750.026.639,Utama,Energy
546,BEI: MBTO,Martina Berto Tbk.,13 Januari 2011,1.070.000.000,Pengembangan,Consumer Non-Cyclicals
547,BEI: MCAS,M Cash Integrasi Tbk.,1 November 2017,867.933.300,Utama,Technology
548,BEI: MCOL,Prima Andalan Mandiri Tbk.,7 September 2021,3.555.560.000,Utama,Energy
549,BEI: MCOR,Bank China Construction Bank I,3 Juli 2007,37.540.533.209,Utama,Financials
550,BEI: MDIA,Intermedia Capital Tbk.,11 April 2014,39.215.538.400,Pemantauan Khusus,Consumer Cyclicals
551,BEI: MDKA,Merdeka Copper Gold Tbk.,19 Juni 2015,24.472.983.771,Utama,Basic Materials
552,BEI: MDKI,Emdeki Utama Tbk.,25 September 2017,2.530.150.002,Pengembangan,Basic Materials
553,BEI: MDLN,Modernland Realty Tbk.,18 Januari 1993,12.533.067.322,Utama,Properties & Real Estate
554,BEI: MDRN,Modern Internasional Tbk.,16 Juli 1991,7.632.167.798,Pemantauan Khusus,Industrials
555,BEI: MEDC,Medco Energi Internasional Tbk,12 Oktober 1994,25.136.231.252,Utama,Energy
556,BEI: MEDS,Hetzer Medical Indonesia Tbk.,10 Agustus 2022,1.562.500.000,Pengembangan,Healthcare
557,BEI: MEGA,Bank Mega Tbk.,17 April 2000,11.623.514.905,Utama,Financials
558,BEI: MEJA,Harta Djaya Karya Tbk.,12 Februari 2024,1.917.500.000,Akselerasi,Consumer Cyclicals
559,BEI: MENN,Menn Teknologi Indonesia Tbk.,18 April 2023,1.434.052.006,Akselerasi,Technology
560,BEI: MERK,Merck Tbk.,23 Juli 1981,448.000.000,Pengembangan,Healthcare
561,BEI: META,Nusantara Infrastructure Tbk.,18 Juli 2001,17.710.708.194,Pemantauan Khusus,Infrastructure
562,BEI: MFIN,Mandala Multifinance Tbk.,6 September 2005,2.650.000.000,Utama,Financials
563,BEI: MFMI,Multifiling Mitra Indonesia Tb,29 Desember 2010,757.581.000,Pemantauan Khusus,Industrials
564,BEI: MGLV,Panca Anugrah Wisesa Tbk.,8 Juni 2021,1.904.883.411,Akselerasi,Consumer Cyclicals
565,BEI: MGNA,Magna Investama Mandiri Tbk.,8 Juli 2014,3.410.477.164,Pemantauan Khusus,Consumer Cyclicals
566,BEI: MGRO,Mahkota Group Tbk.,12 Juli 2018,3.554.445.700,Pengembangan,Consumer Non-Cyclicals
567,BEI: MHKI,Multi Hanna Kreasindo Tbk.,16 April 2024,3.750.000.000,Pengembangan,Industrials
568,BEI: MICE,Multi Indocitra Tbk.,21 Desember 2005,600.000.000,Pengembangan,Consumer Cyclicals
569,BEI: MIDI,Midi Utama Indonesia Tbk.,30 November 2010,33.435.294.800,Utama,Consumer Non-Cyclicals
570,BEI: MIKA,Mitra Keluarga Karyasehat Tbk.,24 Maret 2015,13.907.481.500,Utama,Healthcare
571,BEI: MINA,Sanurhasta Mitra Tbk.,28 April 2017,6.562.500.000,Pemantauan Khusus,Consumer Cyclicals
572,BEI: MIRA,Mitra International Resources,30 Januari 1997,3.961.452.039,Pemantauan Khusus,Transportation & Logistics
573,BEI: MITI,Mitra Investindo Tbk.,16 Juli 1997,3.540.735.503,Pengembangan,Transportation & Logistics
574,BEI: MKAP,Multikarya Asia Pasifik Raya T,12 Februari 2024,3.250.000.000,Pengembangan,Energy
575,BEI: MKNT,Mitra Komunikasi Nusantara Tbk,26 Oktober 2015,5.500.000.000,Pemantauan Khusus,Consumer Cyclicals
576,BEI: MKPI,Metropolitan Kentjana Tbk.,10 Juli 2009,948.194.000,Pengembangan,Properties & Real Estate
577,BEI: MKTR,Menthobi Karyatama Raya Tbk.,8 November 2022,12.052.390.422,Utama,Consumer Non-Cyclicals
578,BEI: MLPT,Multipolar Technology Tbk.,8 Juli 2013,1.875.000.000,Pengembangan,Technology
579,BEI: MLBI,Multi Bintang Indonesia Tbk.,15 Desember 1981,2.107.000.000,Utama,Consumer Non-Cyclicals
580,BEI: MLIA,Mulia Industrindo Tbk,17 Januari 1994,6.615.000.000,Utama,Industrials
581,BEI: MLPL,Multipolar Tbk.,6 November 1989,15.682.323.987,Utama,Consumer Non-Cyclicals
582,BEI: MMIX,Multi Medika Internasional Tbk,6 Desember 2022,2.400.206.168,Pengembangan,Healthcare
583,BEI: MMLP,Mega Manunggal Property Tbk.,12 Juni 2015,6.889.134.608,Utama,Properties & Real Estate
584,BEI: MNCN,Media Nusantara Citra Tbk.,22 Juni 2007,15.049.787.710,Utama,Consumer Cyclicals
585,BEI: MOLI,Madusari Murni Indah Tbk.,30 Agustus 2018,2.724.036.581,Pengembangan,Basic Materials
586,BEI: MORA,Mora Telematika Indonesia Tbk.,8 Agustus 2022,23.646.668.691,Utama,Infrastructure
587,BEI: PTMP,Mitra Pack Tbk.,6 Maret 2023,3.169.200.000,Pengembangan,Industrials
588,BEI: MPIX,Mitra Pedagang Indonesia Tbk.,7 Februari 2024,1.562.500.000,Pengembangan,Technology
589,BEI: MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.462.963.276,Utama,Consumer Cyclicals
590,BEI: MPOW,Megapower Makmur Tbk.,5 Juli 2017,816.997.053,Pengembangan,Infrastructure
591,BEI: MPPA,Matahari Putra Prima Tbk.,21 Desember 1992,12.966.640.084,Utama,Consumer Non-Cyclicals
592,BEI: MPRO,Maha Properti Indonesia Tbk.,9 Oktober 2018,9.942.500.000,Pengembangan,Properties & Real Estate
593,BEI: MPXL,MPX Logistics International Tb,9 Mei 2023,2.000.014.587,Pengembangan,Transportation & Logistics
594,BEI: PTMR,Master Print Tbk.,8 Oktober 2024,1.907.000.000,Pengembangan,Basic Materials
595,BEI: MRAT,Mustika Ratu Tbk.,27 Juli 1995,428.000.000,Pengembangan,Consumer Non-Cyclicals
596,BEI: MREI,Maskapai Reasuransi Indonesia,4 September 1989,517.791.681,Pengembangan,Financials
597,BEI: MSIE,Multisarana Intan Eduka Tbk.,10 Agustus 2023,1.460.007.754,Akselerasi,Properties & Real Estate
598,BEI: MSIN,MNC Digital Entertainment Tbk.,8 Juni 2018,60.676.178.205,Utama,Consumer Cyclicals
599,BEI: MSJA,Multi Spunindo Jaya Tbk.,10 Januari 2024,5.882.352.900,Utama,Consumer Non-Cyclicals
600,BEI: MSKY,MNC Sky Vision Tbk.,9 Juli 2012,1.994.370.480,Pengembangan,Consumer Cyclicals
601,BEI: MSTI,Mastersystem Infotama Tbk.,8 November 2023,3.138.878.900,Utama,Technology
602,BEI: MTDL,Metrodata Electronics Tbk.,9 April 1990,12.276.884.585,Utama,Technology
603,BEI: MTEL,Dayamitra Telekomunikasi Tbk.,22 November 2021,83.555.225.944,Utama,Infrastructure
604,BEI: MTFN,Capitalinc Investment Tbk.,16 April 1990,31.842.082.852,Pemantauan Khusus,Energy
605,BEI: MTLA,Metropolitan Land Tbk.,20 Juni 2011,7.655.126.330,Utama,Properties & Real Estate
606,BEI: MTMH,Murni Sadar Tbk.,20 April 2022,2.068.526.950,Utama,Healthcare
607,BEI: MTPS,Meta Epsi Tbk.,10 April 2019,2.084.850.829,Pemantauan Khusus,Infrastructure
608,BEI: MTRA,Mitra Pemuda Tbk.,10 Februari 2016,770.000.000,Pemantauan Khusus,Infrastructure
609,BEI: MTSM,Metro Realty Tbk.,8 Januari 1992,232.848.000,Pemantauan Khusus,Properties & Real Estate
610,BEI: MTWI,Malacca Trust Wuwungan Insuran,12 Oktober 2017,2.924.486.639,Pengembangan,Financials
611,BEI: MUTU,Mutuagung Lestari Tbk.,9 Agustus 2023,3.142.881.188,Pengembangan,Industrials
612,BEI: MYOH,Samindo Resources Tbk.,27 Juli 2000,2.206.312.500,Utama,Energy
613,BEI: MYOR,Mayora Indah Tbk.,4 Juli 1990,22.358.699.725,Utama,Consumer Non-Cyclicals
614,BEI: MYRX,Hanson International Tbk.,31 Oktober 1990,86.703.220.792,Pemantauan Khusus,Properties & Real Estate
615,BEI: MYTX,Asia Pacific Investama Tbk.,10 Oktober 1989,7.747.281.949,Pemantauan Khusus,Consumer Cyclicals
616,BEI: NAIK,Adiwarna Anugerah Abadi Tbk.,13 November 2024,3.250.000.000,Pengembangan,Industrials
617,BEI: NANO,Nanotech Indonesia Global Tbk.,10 Maret 2022,4.285.228.063,Akselerasi,Consumer Non-Cyclicals
618,BEI: NASA,Andalan Perkasa Abadi Tbk.,7 Agustus 2017,11.004.929.322,Pemantauan Khusus,Properties & Real Estate
619,BEI: NASI,Wahana Inti Makmur Tbk.,13 Desember 2021,807.400.000,Pengembangan,Consumer Non-Cyclicals
620,BEI: NATO,Surya Permata Andalan Tbk.,18 Januari 2019,8.001.111.504,Pengembangan,Consumer Cyclicals
621,BEI: NAYZ,Hassana Boga Sejahtera Tbk.,6 Februari 2023,2.550.011.472,Akselerasi,Consumer Non-Cyclicals
622,BEI: NCKL,Trimegah Bangun Persada Tbk.,12 April 2023,63.098.600.000,Utama,Basic Materials
623,BEI: NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Oktober 2012,2.350.000.000,Pengembangan,Transportation & Logistics
624,BEI: NEST,Esta Indonesia Tbk.,8 Agustus 2024,4.112.500.000,Pengembangan,Consumer Non-Cyclicals
625,BEI: NETV,Net Visi Media Tbk.,26 Januari 2022,41.360.517.722,Pemantauan Khusus,Consumer Cyclicals
626,BEI: NFCX,NFC Indonesia Tbk.,12 Juli 2018,666.667.500,Pengembangan,Technology
627,BEI: NICE,Adhi Kartiko Pratama Tbk.,9 Januari 2024,6.082.020.000,Pengembangan,Basic Materials
628,BEI: NICK,Charnic Capital Tbk.,2 Mei 2018,651.150.000,Pengembangan,Financials
629,BEI: NICL,PAM Mineral Tbk.,9 Juli 2021,10.635.644.907,Pengembangan,Basic Materials
630,BEI: NIKL,Pelat Timah Nusantara Tbk.,14 Desember 2009,2.523.350.000,Pengembangan,Basic Materials
631,BEI: NINE,Techno9 Indonesia Tbk.,5 Desember 2022,2.157.000.000,Akselerasi,Technology
632,BEI: NIPS,Nipress Tbk.,24 Juli 1991,1.635.333.332,Pemantauan Khusus,Consumer Cyclicals
633,BEI: NIRO,City Retail Developments Tbk.,13 September 2012,22.198.871.804,Pengembangan,Properties & Real Estate
634,BEI: NISP,Bank OCBC NISP Tbk.,20 Oktober 1994,22.715.776.032,Utama,Financials
635,BEI: NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Pengembangan,Financials
636,BEI: NPGF,Nusa Palapa Gemilang Tbk.,14 April 2021,3.240.235.840,Pemantauan Khusus,Basic Materials
637,BEI: NRCA,Nusa Raya Cia Tbk.,27 Juni 2013,2.496.258.344,Pengembangan,Infrastructure
638,BEI: NSSS,Nusantara Sawit Sejahtera Tbk.,10 Maret 2023,23.801.568.645,Pengembangan,Consumer Non-Cyclicals
639,BEI: NTBK,Nusatama Berkah Tbk.,9 Februari 2022,2.700.064.877,Pengembangan,Industrials
640,BEI: NUSA,Sinergi Megah Internusa Tbk.,12 Juli 2018,7.700.000.148,Pemantauan Khusus,Consumer Cyclicals
641,BEI: NZIA,Nusantara Almazia Tbk.,25 September 2019,2.197.540.705,Pengembangan,Properties & Real Estate
642,BEI: OASA,Maharaksa Biru Energi Tbk.,18 Juli 2016,6.347.220.000,Pengembangan,Infrastructure
643,BEI: OBMD,OBM Drilchem Tbk.,8 Desember 2021,805.992.931,Pengembangan,Basic Materials
644,BEI: OCAP,Onix Capital Tbk.,10 Oktober 2003,273.200.000,Pemantauan Khusus,Financials
645,BEI: OILS,Indo Oil Perkasa Tbk.,6 September 2021,454.056.563,Pengembangan,Consumer Non-Cyclicals
646,BEI: OKAS,Ancora Indonesia Resources Tbk,29 Maret 2006,2.373.449.165,Pengembangan,Basic Materials
647,BEI: OLIV,Oscar Mitra Sukses Sejahtera T,17 Mei 2022,1.900.073.314,Akselerasi,Consumer Cyclicals
648,BEI: OMED,Jayamas Medica Industri Tbk.,8 November 2022,27.058.850.000,Utama,Healthcare
649,BEI: OMRE,Indonesia Prima Property Tbk,22 Agustus 1994,2.945.211.000,Pemantauan Khusus,Properties & Real Estate
650,BEI: OPMS,Oima Prima Metal Sinergi Tbk,23 September 2019,1.000.000.000,Pengembangan,Basic Materials
651,BEI: PACK,Solusi Kemasan Digital Tbk.,8 Februari 2023,1.539.143.058,Pemantauan Khusus,Basic Materials
652,BEI: PADA,Personel Alih Daya Tbk.,8 Desember 2022,3.150.000.000,Pemantauan Khusus,Industrials
653,BEI: PADI,Minna Padi Investama Sekuritas,9 Januari 2012,11.307.246.524,Pemantauan Khusus,Financials
654,BEI: PALM,Provident Investasi Bersama Tb,8 Oktober 2012,15.773.797.158,Pengembangan,Financials
655,BEI: PAMG,Bima Sakti Pertiwi Tbk.,5 Juli 2019,3.125.000.000,Pengembangan,Properties & Real Estate
656,BEI: PANI,Pantai Indah Kapuk Dua Tbk.,18 September 2018,16.883.595.500,Pengembangan,Properties & Real Estate
657,BEI: PANR,Panorama Sentrawisata Tbk.,18 September 2001,1.387.500.000,Utama,Consumer Cyclicals
658,BEI: PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama,Financials
659,BEI: PART,Cipta Perdana Lancar Tbk.,5 Juli 2024,2.720.000.000,Pengembangan,Consumer Cyclicals
660,BEI: PBID,Panca Budi Idaman Tbk.,13 Desember 2017,7.500.000.000,Utama,Basic Materials
661,BEI: PBRX,Pan Brothers Tbk.,16 Agustus 1990,21.482.028.246,Pemantauan Khusus,Consumer Cyclicals
662,BEI: PBSA,Paramita Bangun Sarana Tbk.,28 September 2016,3.000.000.000,Pengembangan,Infrastructure
663,BEI: PCAR,Prima Cakrawala Abadi Tbk.,29 Desember 2017,1.166.666.700,Pengembangan,Consumer Non-Cyclicals
664,BEI: PDES,Destinasi Tirta Nusantara Tbk,8 Juli 2008,715.000.000,Pengembangan,Consumer Cyclicals
665,BEI: PDPP,Primadaya Plastisindo Tbk.,9 November 2022,3.061.341.438,Pengembangan,Basic Materials
666,BEI: PEGE,Panca Global Kapital Tbk.,24 Juni 2005,2.833.417.056,Pengembangan,Financials
667,BEI: PEHA,Phapros Tbk.,26 Desember 2018,840.000.000,Pengembangan,Healthcare
668,BEI: PEVE,Penta Valent Tbk.,24 Januari 2023,1.765.625.000,Pengembangan,Healthcare
669,BEI: PGAS,Perusahaan Gas Negara Tbk.,15 Desember 2003,24.241.508.196,Utama,Energy
670,BEI: PGEO,Pertamina Geothermal Energy Tb,24 Februari 2023,41.508.024.149,Utama,Infrastructure
671,BEI: PGJO,Tourindo Guide Indonesia Tbk.,8 Januari 2020,772.459.095,Akselerasi,Technology
672,BEI: PGLI,Pembangunan Graha Lestari Inda,5 April 2000,488.000.000,Pengembangan,Consumer Cyclicals
673,BEI: PGUN,Pradiksi Gunatama Tbk.,7 Juli 2020,5.737.848.882,Pemantauan Khusus,Consumer Non-Cyclicals
674,BEI: PICO,Pelangi Indah Canindo Tbk,23 September 1996,568.375.000,Pengembangan,Basic Materials
675,BEI: PIPA,Multi Makmur Lemindo Tbk.,10 April 2023,3.425.031.863,Pemantauan Khusus,Industrials
676,BEI: PJAA,Pembangunan Jaya Ancol Tbk.,2 Juli 2004,1.599.999.996,Pengembangan,Consumer Cyclicals
677,BEI: PKPK,Perdana Karya Perkasa Tbk,11 Juli 2007,1.200.000.000,Pengembangan,Energy
678,BEI: PLAN,Planet Properindo Jaya Tbk.,15 September 2020,896.709.596,Akselerasi,Consumer Cyclicals
679,BEI: PLAS,Polaris Investama Tbk,16 Maret 2001,1.184.200.000,Pemantauan Khusus,Financials
680,BEI: PLIN,Plaza Indonesia Realty Tbk.,15 Juni 1992,3.550.000.000,Pemantauan Khusus,Properties & Real Estate
681,BEI: PMJS,Putra Mandiri Jembar Tbk.,18 Desember 2019,13.755.600.000,Pengembangan,Consumer Cyclicals
682,BEI: PMMP,Panca Mitra Multiperdana Tbk.,18 Desember 2020,2.588.300.000,Pengembangan,Consumer Non-Cyclicals
683,BEI: PNBN,Bank Pan Indonesia Tbk,29 Desember 1982,23.837.645.998,Utama,Financials
684,BEI: PNBS,Bank Panin Dubai Syariah Tbk.,15 Januari 2014,38.425.504.906,Pengembangan,Financials
685,BEI: PNGO,Pinago Utama Tbk.,31 Agustus 2020,781.250.000,Pengembangan,Consumer Non-Cyclicals
686,BEI: PNIN,Paninvest Tbk.,20 September 1983,4.068.323.920,Utama,Financials
687,BEI: PNLF,Panin Financial Tbk.,14 Juni 1983,32.022.073.293,Utama,Financials
688,BEI: PNSE,Pudjiadi & Sons Tbk.,1 Mei 1990,797.813.496,Pengembangan,Consumer Cyclicals
689,BEI: POLA,Pool Advista Finance Tbk.,16 November 2018,3.351.075.600,Pemantauan Khusus,Financials
690,BEI: POLI,Pollux Hotels Group Tbk.,10 Januari 2019,2.010.526.400,Pemantauan Khusus,Properties & Real Estate
691,BEI: POLL,Pollux Properties Indonesia Tb,11 Juli 2018,8.318.823.600,Pengembangan,Properties & Real Estate
692,BEI: POLU,Golden Flower Tbk.,26 Juni 2019,750.000.000,Pengembangan,Consumer Cyclicals
693,BEI: POLY,Asia Pacific Fibers Tbk,12 Maret 1991,2.495.753.334,Pemantauan Khusus,Consumer Cyclicals
694,BEI: POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus,Financials
695,BEI: PORT,Nusantara Pelabuhan Handal Tbk,16 Maret 2017,2.813.941.985,Pengembangan,Infrastructure
696,BEI: POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pemantauan Khusus,Properties & Real Estate
697,BEI: POWR,Cikarang Listrindo Tbk.,14 Juni 2016,16.087.156.000,Utama,Infrastructure
698,BEI: PTPP,PP (Persero) Tbk.,9 Februari 2010,6.199.897.354,Utama,Infrastructure
699,BEI: PPGL,Prima Globalindo Logistik Tbk.,20 Juli 2020,771.178.020,Akselerasi,Transportation & Logistics
700,BEI: PPRE,PP Presisi Tbk.,24 November 2017,10.224.271.000,Pengembangan,Infrastructure
701,BEI: PPRI,Paperocks Indonesia Tbk.,8 Agustus 2023,1.075.027.288,Pengembangan,Basic Materials
702,BEI: PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus,Properties & Real Estate
703,BEI: PRAS,Prima Alloy Steel Universal Tb,12 Juli 1990,701.043.478,Pemantauan Khusus,Consumer Cyclicals
704,BEI: PRAY,Famon Awal Bros Sedaya Tbk.,8 November 2022,13.959.422.300,Pengembangan,Healthcare
705,BEI: PRDA,Prodia Widyahusada Tbk.,7 Desember 2016,937.500.000,Utama,Healthcare
706,BEI: PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.434.905,Pengembangan,Healthcare
707,BEI: PTPS,Pulau Subur Tbk.,9 Oktober 2023,2.167.514.856,Pengembangan,Consumer Non-Cyclicals
708,BEI: PSAB,J Resources Asia Pasifik Tbk.,22 April 2003,26.460.000.000,Pengembangan,Basic Materials
709,BEI: PSDN,Prasidha Aneka Niaga Tbk,18 Oktober 1994,1.440.000.000,Pengembangan,Consumer Non-Cyclicals
